frame,time,track_id,class,x1,y1,x2,y2,confidence,event
3,16:03:11,1,Person,213,246,455,479,0.72,
4,16:03:11,1,Person,220,245,460,479,0.77,
5,16:03:11,1,Person,222,261,455,479,0.76,
6,16:03:12,1,Person,222,265,441,479,0.76,
7,16:03:12,1,Person,239,274,456,479,0.84,
8,16:03:12,1,Person,248,274,466,479,0.84,
9,16:03:12,1,Person,251,269,469,479,0.85,
10,16:03:12,1,Person,254,255,471,479,0.85,
11,16:03:12,1,Person,229,241,447,479,0.85,
12,16:03:13,1,Person,227,244,441,479,0.73,
13,16:03:13,1,Person,219,234,439,479,0.85,
14,16:03:13,1,Person,213,233,437,479,0.84,
15,16:03:13,1,Person,207,233,432,479,0.82,
16,16:03:13,1,Person,204,230,428,479,0.84,
17,16:03:13,1,Person,202,231,427,479,0.82,
18,16:03:13,1,Person,201,231,427,479,0.85,
19,16:03:14,1,Person,200,229,425,479,0.82,
20,16:03:14,1,Person,201,229,428,479,0.82,
21,16:03:14,1,Person,201,228,428,479,0.81,
22,16:03:14,1,Person,202,226,429,479,0.76,
23,16:03:14,1,Person,204,225,430,479,0.80,
24,16:03:14,1,Person,208,226,430,479,0.82,
25,16:03:14,1,Person,208,225,433,479,0.76,
26,16:03:15,1,Person,212,220,437,479,0.69,
27,16:03:15,1,Person,225,211,449,479,0.83,
28,16:03:15,1,Person,233,203,460,479,0.83,
29,16:03:15,1,Person,232,202,471,479,0.70,
30,16:03:15,1,Person,213,184,637,479,0.77,
31,16:03:15,1,Person,150,170,638,479,0.62,
32,16:03:15,1,Person,66,179,486,479,0.43,
33,16:03:15,1,Person,39,139,637,479,0.85,
34,16:03:15,1,Person,36,134,638,479,0.74,
35,16:03:16,1,Person,84,105,635,479,0.65,
36,16:03:16,1,Person,243,120,637,479,0.57,
36,16:03:16,2,Person,0,206,240,479,0.85,
37,16:03:16,1,Person,169,123,639,479,0.47,
37,16:03:16,2,Person,0,203,242,479,0.88,
38,16:03:16,1,Person,329,170,639,479,0.72,
38,16:03:16,2,Person,0,233,304,479,0.58,
39,16:03:16,1,Person,355,187,639,479,0.85,
39,16:03:16,2,Person,1,252,249,479,0.83,
40,16:03:16,1,Person,356,184,639,479,0.75,
40,16:03:16,2,Person,0,258,251,479,0.77,
41,16:03:16,1,Person,382,147,640,478,0.72,
41,16:03:16,2,Person,10,253,320,479,0.50,
42,16:03:16,1,Person,423,88,639,478,0.41,
42,16:03:16,2,Person,66,219,365,479,0.66,
43,16:03:17,1,Person,76,80,638,479,0.53,
43,16:03:17,2,Person,105,212,425,479,0.61,
44,16:03:17,1,Person,275,74,639,479,0.36,
44,16:03:17,2,Person,115,212,460,479,0.71,
45,16:03:17,1,Person,114,64,639,480,0.44,
45,16:03:17,2,Person,154,211,466,479,0.66,
46,16:03:17,1,Person,391,38,639,479,0.38,
46,16:03:17,2,Person,161,200,474,479,0.86,
47,16:03:17,1,Person,391,38,639,479,0.38,
47,16:03:17,2,Person,159,200,471,479,0.79,
48,16:03:17,1,Person,391,38,639,479,0.38,
48,16:03:17,2,Person,158,211,467,479,0.69,
49,16:03:17,1,Person,391,38,639,479,0.38,
49,16:03:17,2,Person,160,216,465,479,0.69,
50,16:03:17,1,Person,391,38,639,479,0.38,
50,16:03:17,2,Person,152,232,443,479,0.81,
51,16:03:17,1,Person,492,78,639,479,0.45,
51,16:03:17,2,Person,148,242,433,479,0.88,
52,16:03:18,1,Person,487,82,639,479,0.36,
52,16:03:18,2,Person,143,238,435,479,0.90,
53,16:03:18,1,Person,473,89,639,479,0.38,
53,16:03:18,2,Person,134,237,431,479,0.91,
54,16:03:18,1,Person,477,85,639,479,0.53,
54,16:03:18,2,Person,133,237,433,479,0.91,
55,16:03:18,1,Person,477,85,639,479,0.53,
55,16:03:18,2,Person,135,239,435,479,0.91,
56,16:03:18,1,Person,466,88,639,477,0.36,
56,16:03:18,2,Person,130,239,427,479,0.92,
57,16:03:18,1,Person,466,88,639,477,0.36,
57,16:03:18,2,Person,130,239,427,479,0.92,
58,16:03:18,1,Person,352,120,639,479,0.80,
58,16:03:18,2,Person,1,230,331,479,0.40,
59,16:03:18,1,Person,290,129,638,479,0.93,
59,16:03:18,2,Person,0,207,215,479,0.88,
60,16:03:18,1,Person,305,142,639,479,0.92,
60,16:03:18,2,Person,0,213,220,479,0.88,
61,16:03:19,1,Person,299,140,639,479,0.93,
61,16:03:19,2,Person,0,210,218,479,0.89,
62,16:03:19,1,Person,304,142,638,479,0.93,
62,16:03:19,2,Person,0,211,222,479,0.81,
63,16:03:19,1,Person,304,141,638,479,0.93,
63,16:03:19,2,Person,0,209,226,479,0.84,
64,16:03:19,1,Person,304,143,639,479,0.93,
64,16:03:19,2,Person,0,209,224,479,0.89,
65,16:03:19,1,Person,306,144,638,479,0.91,
65,16:03:19,2,Person,0,210,226,479,0.87,
66,16:03:19,1,Person,302,145,638,479,0.92,
66,16:03:19,2,Person,0,209,227,479,0.89,
67,16:03:19,1,Person,300,145,638,479,0.92,
67,16:03:19,2,Person,0,209,227,479,0.88,
68,16:03:20,1,Person,300,145,638,479,0.89,
68,16:03:20,2,Person,0,209,227,479,0.88,
69,16:03:20,1,Person,298,145,638,479,0.90,
69,16:03:20,2,Person,0,208,224,479,0.88,
70,16:03:20,1,Person,297,145,638,479,0.88,
70,16:03:20,2,Person,0,208,226,479,0.89,
71,16:03:20,1,Person,295,144,638,479,0.88,
71,16:03:20,2,Person,0,207,226,479,0.90,
72,16:03:20,1,Person,291,148,638,479,0.89,
72,16:03:20,2,Person,0,208,225,479,0.92,
73,16:03:20,1,Person,292,146,638,479,0.89,
73,16:03:20,2,Person,0,205,225,479,0.87,
74,16:03:20,1,Person,296,148,638,479,0.86,
74,16:03:20,2,Person,0,206,228,479,0.83,
75,16:03:21,1,Person,298,146,638,479,0.88,
75,16:03:21,2,Person,0,202,220,479,0.86,
76,16:03:21,1,Person,299,143,638,479,0.88,
76,16:03:21,2,Person,0,195,218,479,0.87,
77,16:03:21,1,Person,298,145,638,479,0.91,
77,16:03:21,2,Person,0,185,215,479,0.89,
78,16:03:21,1,Person,289,148,639,479,0.78,
78,16:03:21,2,Person,0,181,203,479,0.90,
79,16:03:21,1,Person,287,148,639,479,0.82,
79,16:03:21,2,Person,0,180,194,479,0.89,
80,16:03:21,1,Person,286,147,638,479,0.87,
80,16:03:21,2,Person,0,182,190,479,0.90,
81,16:03:21,1,Person,292,145,639,479,0.83,
81,16:03:21,2,Person,0,183,193,479,0.90,
82,16:03:22,1,Person,295,144,639,479,0.84,
82,16:03:22,2,Person,0,187,195,479,0.89,
83,16:03:22,1,Person,299,142,638,479,0.89,
83,16:03:22,2,Person,0,188,197,479,0.89,
84,16:03:22,1,Person,301,145,638,479,0.83,
84,16:03:22,2,Person,0,191,195,479,0.85,
85,16:03:22,1,Person,293,143,639,479,0.86,
85,16:03:22,2,Person,0,187,192,479,0.88,
86,16:03:22,1,Person,249,93,638,479,0.68,
86,16:03:22,2,Person,0,188,189,479,0.64,
87,16:03:22,1,Person,256,104,639,479,0.87,
87,16:03:22,2,Person,0,192,152,479,0.82,
88,16:03:22,1,Person,225,124,639,479,0.87,
88,16:03:22,2,Person,0,174,145,479,0.62,
89,16:03:22,1,Person,215,135,639,479,0.78,
89,16:03:22,2,Person,0,176,137,479,0.72,
90,16:03:23,1,Person,256,146,638,479,0.88,
90,16:03:23,2,Person,0,172,137,479,0.76,
91,16:03:23,1,Person,245,144,637,479,0.85,
91,16:03:23,2,Person,0,168,151,479,0.61,
92,16:03:23,1,Person,283,153,638,479,0.86,
92,16:03:23,2,Person,0,180,146,479,0.81,
93,16:03:23,1,Person,265,156,639,479,0.90,
93,16:03:23,2,Person,0,177,156,479,0.80,
94,16:03:23,1,Person,258,156,639,479,0.84,
94,16:03:23,2,Person,0,184,175,479,0.64,
95,16:03:23,1,Person,315,158,639,479,0.78,
95,16:03:23,2,Person,0,196,182,479,0.66,
96,16:03:23,1,Person,206,137,639,479,0.84,
96,16:03:23,2,Person,0,179,176,479,0.48,
97,16:03:23,1,Person,194,111,638,479,0.90,
97,16:03:23,2,Person,0,171,144,479,0.79,
98,16:03:24,1,Person,209,127,638,479,0.90,
98,16:03:24,2,Person,0,183,148,479,0.59,
99,16:03:24,1,Person,211,128,638,479,0.91,
99,16:03:24,2,Person,0,185,151,479,0.50,
100,16:03:24,1,Person,209,126,638,479,0.91,
100,16:03:24,2,Person,0,185,153,479,0.59,
101,16:03:24,1,Person,206,123,637,479,0.92,
101,16:03:24,2,Person,0,183,147,479,0.63,
102,16:03:24,1,Person,209,125,637,479,0.91,
102,16:03:24,2,Person,0,184,153,479,0.51,
103,16:03:24,1,Person,205,115,638,479,0.87,
103,16:03:24,2,Person,0,181,144,478,0.41,
104,16:03:24,1,Person,197,132,638,480,0.67,
104,16:03:24,2,Person,0,186,249,479,0.36,
105,16:03:24,1,Person,41,126,639,479,0.70,
105,16:03:24,2,Person,0,186,249,479,0.36,
106,16:03:25,1,Person,77,125,640,479,0.72,
106,16:03:25,2,Person,0,182,232,478,0.51,
107,16:03:25,1,Person,123,125,638,480,0.73,
107,16:03:25,2,Person,0,180,227,479,0.61,
108,16:03:25,1,Person,15,131,636,480,0.74,
108,16:03:25,2,Person,0,184,218,479,0.71,
109,16:03:25,1,Person,24,130,638,480,0.73,
109,16:03:25,2,Person,0,184,218,479,0.49,
110,16:03:25,1,Person,24,130,638,480,0.73,
110,16:03:25,2,Person,0,184,218,479,0.49,
111,16:03:25,1,Person,2,134,640,479,0.77,
111,16:03:25,2,Person,0,184,218,479,0.49,
112,16:03:25,1,Person,3,133,640,479,0.78,
112,16:03:25,2,Person,0,184,218,479,0.49,
113,16:03:25,1,Person,0,130,637,479,0.79,
113,16:03:25,2,Person,0,184,218,479,0.49,
114,16:03:25,1,Person,156,130,638,479,0.77,
114,16:03:25,2,Person,0,184,218,479,0.49,
115,16:03:26,1,Person,15,128,639,479,0.77,
115,16:03:26,2,Person,0,184,218,479,0.49,
116,16:03:26,1,Person,14,130,638,479,0.73,
116,16:03:26,2,Person,0,184,218,479,0.49,
117,16:03:26,1,Person,28,134,637,479,0.73,
117,16:03:26,2,Person,0,184,218,479,0.49,
118,16:03:26,1,Person,46,133,637,479,0.75,
118,16:03:26,2,Person,0,184,218,479,0.49,
119,16:03:26,1,Person,208,133,639,479,0.73,
119,16:03:26,2,Person,0,184,218,479,0.49,
120,16:03:26,1,Person,210,133,639,479,0.75,
120,16:03:26,2,Person,0,184,218,479,0.49,
121,16:03:26,1,Person,46,131,638,479,0.74,
121,16:03:26,2,Person,0,184,218,479,0.49,
